car,price,body,mileage,engV,engType,registration,year,model,drive
Opel,10800.0,van,220,2.0,Diesel,yes,2006,Vivaro ïàññ.,front
Audi,15000.0,sedan,168,,Other,yes,2007,A6,
Nissan,16990.0,crossover,70,1.6,Petrol,yes,2014,Juke,front
Mercedes-Benz,42500.0,sedan,110,3.0,Diesel,yes,2011,S 350,full
Peugeot,9500.0,vagon,123,1.6,Other,yes,2008,Partner ïàññ.,front
Mercedes-Benz,3550.0,sedan,238,2.2,Diesel,no,2001,E-Class,rear
Volkswagen,17200.0,van,230,3.2,Gas,yes,2008,Multivan,front
Chery,4600.0,crossover,55,1.3,Petrol,yes,2011,Beat,front
Toyota,27800.0,crossover,98,2.2,Diesel,yes,2013,Rav 4,full
Opel,7290.0,sedan,209,2.2,Petrol,yes,2004,Vectra C,front
BMW,0.0,sedan,145,2.0,Diesel,yes,2007,320,rear
Audi,14300.0,sedan,175,3.0,Petrol,yes,2006,A6,full
Toyota,26200.0,other,73,2.5,Diesel,yes,2012,Hilux,full
VAZ,4450.0,vagon,30,1.4,Petrol,yes,2012,1117,front
Honda,16300.0,crossover,111,2.4,Petrol,yes,2008,CR-V,full
Toyota,17500.0,hatch,45,1.6,Petrol,yes,2014,Auris,front
Jaguar,39900.0,sedan,24,2.0,Petrol,yes,2016,XE,rear
Volkswagen,10500.0,other,270,2.5,Diesel,yes,2007,T5 (Transporter) ïàññ.,front
BMW,10800.0,other,191,2.2,Petrol,yes,2002,320,rear
Mercedes-Benz,35500.0,sedan,100,3.5,Petrol,yes,2010,S 350,full
Audi,1750.0,vagon,330,1.9,Diesel,no,1996,A4,front
Volkswagen,12800.0,other,298,,Diesel,yes,2005,T5 (Transporter) ïàññ.,
Chevrolet,6000.0,crossover,203,1.7,Petrol,yes,2007,Niva,full
Mitsubishi,12300.0,other,175,2.5,Diesel,yes,2008,L 200,full
Volkswagen,10700.0,vagon,171,1.9,Diesel,yes,2010,Caddy ïàññ.,front
Mercedes-Benz,16555.0,sedan,159,3.5,Gas,yes,2006,CLS 350,rear
Citroen,6700.0,van,108,1.6,Diesel,yes,2007,Berlingo ïàññ.,front
Jaguar,10300.0,sedan,164,2.5,Petrol,yes,2006,X-Type,full
Rolls-Royce,130000.0,other,43,6.75,Petrol,yes,2006,Phantom,rear
BMW,5800.0,sedan,270,4.4,Petrol,yes,1996,540,rear
Renault,4299.0,vagon,300,1.5,Diesel,yes,2003,Kangoo ïàññ.,front
Ford,16600.0,other,30,2.2,Diesel,yes,2013,Ranger,full
Chevrolet,94400.0,van,1,5.3,Petrol,yes,2014,Express ïàññ.,full
Land Rover,95555.0,crossover,60,4.4,Diesel,yes,2014,Range Rover,full
Geely,9900.0,sedan,79,2.0,Gas,yes,2014,Emgrand 8,front
Renault,10200.0,vagon,151,1.5,Diesel,yes,2011,Megane,front
Chery,6350.0,crossover,77,2.4,Gas,yes,2008,Tiggo,front
Dodge,47000.0,other,14,6.4,Petrol,yes,2009,Challenger,
Nissan,7500.0,sedan,192,10.0,Gas,yes,2003,Maxima,front
Lexus,22500.0,sedan,120,3.5,Petrol,yes,2010,GS 350,full
Land Rover,46900.0,crossover,115,3.0,Diesel,yes,2012,Range Rover Sport,full
Mercedes-Benz,6999.0,other,168,2.3,Petrol,yes,2001,CLK 230,
Toyota,8900.0,crossover,153,2.0,Petrol,yes,2003,Rav 4,full
Volvo,5999.0,sedan,168,2.0,Petrol,yes,2000,S80,front
Mercedes-Benz,7500.0,sedan,187,2.0,Gas,yes,2001,C-Class,
BMW,12500.0,crossover,176,3.0,Gas,yes,2002,X5,full
Toyota,5500.0,crossover,188,2.0,Petrol,yes,1999,Rav 4,full
Renault,6900.0,sedan,68,1.5,Diesel,yes,2013,Logan,
Mitsubishi,6800.0,sedan,82,2.0,Petrol,yes,2007,Lancer,
Land Rover,6900.0,crossover,167,2.5,Gas,yes,2003,Freelander,full
Honda,7999.0,sedan,118,1.8,Petrol,yes,2007,Civic,
Daewoo,2500.0,hatch,12,1.6,Gas,yes,1998,Nubira,front
Mercedes-Benz,2100.0,other,350,2.4,Diesel,yes,1988,MB ãðóç.,front
Ferrari,205000.0,other,12,4.5,Petrol,yes,2012,458 Italia,rear
Volkswagen,10900.0,sedan,136,1.8,Petrol,yes,2008,Passat B6,front
Renault,9200.0,hatch,12,1.2,Petrol,yes,2013,Sandero,front
VAZ,1100.0,sedan,38,1.5,Gas,yes,1990,2107,rear
Volkswagen,9650.0,vagon,200,1.4,Gas,yes,2009,Passat B6,front
Audi,31500.0,sedan,80,2.0,Petrol,yes,2013,A6,front
Peugeot,15700.0,vagon,55,1.6,Diesel,yes,2012,3008,front
BMW,12800.0,sedan,140,2.2,Petrol,yes,2005,520,rear
BMW,22500.0,other,100,3.0,Petrol,yes,2007,630,rear
Toyota,19800.0,crossover,44,2.0,Petrol,yes,2013,Rav 4,front
Mercedes-Benz,6400.0,hatch,177,2.0,Diesel,no,2008,B 200,front
Porsche,54500.0,sedan,77,4.8,Petrol,yes,2012,Panamera,full
Opel,8500.0,sedan,230,2.2,Petrol,yes,2006,Vectra C,front
BMW,19000.0,crossover,215,3.0,Diesel,yes,2006,X5,full
Skoda,10500.0,sedan,170,1.8,Gas,yes,2008,Superb,front
Nissan,13900.0,hatch,45,,Other,yes,2012,Leaf,front
Audi,69999.0,crossover,21,3.0,Petrol,yes,2015,A6 Allroad,full
Volkswagen,51900.0,crossover,30,3.0,Diesel,yes,2015,Touareg,full
Daewoo,4100.0,sedan,68,1.3,Gas,yes,2011,Sens,front
Volkswagen,10600.0,van,240,2.5,Diesel,yes,2009,T5 (Transporter) ïàññ.,front
Acura,8699.0,sedan,145,3.2,Gas,yes,2005,TL,front
Mitsubishi,11100.0,crossover,119,2.4,Gas,yes,2008,Outlander,
BMW,17700.0,sedan,98,2.0,Petrol,yes,2011,320,rear
Chevrolet,12500.0,sedan,43,1.8,Petrol,yes,2012,Cruze,front
Geely,3100.0,sedan,69,1.6,Petrol,yes,2010,CK1,
Audi,21000.0,sedan,210,4.2,Petrol,yes,2009,A8,full
Skoda,10200.0,hatch,180,1.9,Diesel,yes,2008,Octavia A5,front
Other-Retro,12700.0,crossover,60,4.2,Diesel,yes,1987,Êëàññè÷åñêèå,
Mercedes-Benz,2500.0,vagon,122,2.3,Petrol,yes,1987,230,rear
BMW,51500.0,crossover,23,3.0,Petrol,yes,2013,X6,full
Chevrolet,12500.0,sedan,43,1.8,Petrol,yes,2012,Cruze,front
BMW,39900.0,crossover,82,3.0,Petrol,yes,2011,X6,full
Toyota,35900.0,crossover,84,3.0,Diesel,yes,2013,Land Cruiser Prado,full
Nissan,18500.0,crossover,42,1.6,Petrol,yes,2012,Juke,full
Mazda,11999.0,crossover,110,2.3,Petrol,yes,2008,CX-7,full
Lexus,13999.0,sedan,128,3.0,Petrol,yes,2006,GS 300,full
Citroen,19900.0,hatch,103,1.6,Diesel,yes,2012,DS5,front
Renault,9300.0,vagon,184,1.5,Diesel,yes,2011,Megane,front
Nissan,20820.0,crossover,27,1.6,Gas,yes,2015,Juke,front
Opel,6490.0,van,290,1.9,Diesel,yes,2004,Vivaro ïàññ.,front
Mercedes-Benz,41500.0,other,26,,Diesel,yes,2013,E-Class,rear
VAZ,3300.0,sedan,103,1.6,Petrol,yes,2006,2110,front
Subaru,4700.0,sedan,164,2.0,Petrol,yes,1998,Legacy,full
Volkswagen,9599.0,sedan,88,1.6,Petrol,yes,2014,Polo,front
Mitsubishi,13200.0,crossover,124,3.0,Gas,yes,2008,Pajero Sport,full
Toyota,28900.0,crossover,120,3.5,Petrol,yes,2011,Highlander,full
Mercedes-Benz,11800.0,van,148,2.2,Diesel,yes,2010,Vito ãðóç.,
Hyundai,23999.0,crossover,62,2.2,Diesel,yes,2012,Santa FE,full
Toyota,35555.0,crossover,40,3.5,Petrol,yes,2013,Highlander,full
Kia,33419.1,crossover,0,2.2,Diesel,yes,2015,Sorento,full
Audi,20500.0,sedan,106,1.8,Petrol,yes,2011,A4,front
Mitsubishi,2800.0,other,290,2.0,Petrol,yes,1990,Galant,front
VAZ,3900.0,hatch,121,1.4,Petrol,yes,2008,1119,front
Hyundai,5000.0,van,5,2.5,Diesel,yes,1999,H 200 ïàññ.,rear
Renault,10750.0,hatch,136,1.5,Diesel,yes,2011,Megane,front
Dacia,5550.0,other,124,1.6,Gas,yes,2007,Logan,front
Subaru,4350.0,vagon,322,2.5,Petrol,yes,1998,Legacy,full
Peugeot,12500.0,hatch,80,1.4,Diesel,yes,2013,208,front
BMW,18777.0,sedan,134,4.4,Petrol,yes,2005,545,rear
Volkswagen,1800.0,sedan,250,,Petrol,yes,1991,Jetta,front
Moskvich-Izh,750.0,van,100,1.5,Petrol,yes,1988,2715,rear
Subaru,7600.0,crossover,132,2.0,Petrol,yes,2005,Forester,full
Renault,6400.0,sedan,51,1.6,Petrol,yes,2011,Logan,front
Honda,1750.0,sedan,193,2.0,Gas,yes,1988,Accord,front
Mitsubishi,17499.0,crossover,149,3.0,Gas,yes,2008,Pajero Wagon,full
MINI,11950.0,hatch,150,1.6,Petrol,yes,2008,Cooper S,front
BMW,4950.0,sedan,1,3.0,Petrol,yes,1996,730,rear
Suzuki,8200.0,crossover,50,1.3,Petrol,yes,1990,Samurai,full
Kia,3000.0,sedan,155,1.3,Gas,yes,2002,Rio,front
Skoda,7000.0,hatch,77,1.4,Petrol,yes,2007,Roomster,front
Nissan,6750.0,hatch,150,1.4,Petrol,yes,2008,Note,front
Toyota,9000.0,crossover,180,1.8,Gas,yes,2003,Matrix,front
Mercedes-Benz,13200.0,van,260,2.2,Diesel,yes,2008,Sprinter 213 ïàññ.,rear
Opel,7800.0,other,140,,Diesel,yes,2008,Astra H,front
VAZ,3777.0,other,70,1.6,Petrol,yes,2007,2110,front
Daewoo,2700.0,sedan,250,1.3,Petrol,yes,2005,Sens,front
VAZ,3950.0,crossover,120,1.7,Gas,yes,2004,2121,full
Mitsubishi,6300.0,sedan,126,1.6,Petrol,yes,2006,Lancer,front
Ford,23500.0,other,5,2.2,Diesel,yes,2014,Ranger,full
Honda,9300.0,crossover,183,2.0,Petrol,yes,2004,CR-V,full
Renault,7300.0,vagon,200,1.5,Diesel,yes,2008,Megane,front
Audi,44000.0,hatch,1,1.4,Petrol,yes,2016,A5,
Renault,8350.0,other,141,1.5,Other,yes,2012,Megane,front
Mercedes-Benz,20900.0,other,250,3.2,Diesel,yes,2007,ML 320,full
Hyundai,13000.0,sedan,6,1.4,Petrol,yes,2012,Accent,front
VAZ,537.225,sedan,87,1.5,Petrol,yes,1994,2105,rear
GAZ,2400.0,van,120,2.5,Gas,yes,2008,2752 Ñîáîëü,rear
Nissan,7800.0,hatch,85,1.6,Other,yes,2008,TIIDA,full
Mercedes-Benz,4100.0,sedan,410,2.2,Diesel,yes,1998,E-Class,rear
Toyota,26900.0,crossover,118,2.7,Petrol,yes,2011,Land Cruiser Prado,full
Subaru,7999.0,sedan,155,2.0,Petrol,yes,2008,Legacy,full
Toyota,17300.0,other,135,3.5,Gas,yes,2009,Camry,front
Volkswagen,3500.0,hatch,220,2.0,Petrol,yes,1994,Golf III,front
Audi,3000.0,vagon,270,2.5,Diesel,yes,1998,A4,front
Audi,2500.0,vagon,280,2.5,Other,no,1999,A6,full
Mitsubishi,7700.0,sedan,139,1.5,Petrol,yes,2008,Lancer X,front
Mercedes-Benz,7600.0,sedan,384,2.8,Petrol,yes,2000,E-Class,rear
Renault,4999.0,sedan,114,1.4,Other,yes,2006,Clio,front
Toyota,18999.0,crossover,95,2.0,Petrol,yes,2011,Rav 4,full
Suzuki,6900.0,hatch,142,1.3,Petrol,yes,2007,Swift,front
Mercedes-Benz,32000.0,crossover,176,3.2,Gas,yes,2003,G 320,full
Subaru,11800.0,crossover,160,2.0,Petrol,yes,2008,Forester,full
Kia,7800.0,other,140,2.0,Petrol,yes,2007,Magentis,front
Lexus,70000.0,crossover,13,2.0,Petrol,yes,2016,RX 200,full
Nissan,7500.0,hatch,129,1.6,Petrol,yes,2008,Note,front
Opel,4400.0,other,280,1.8,Petrol,yes,1996,Vectra B,front
Volkswagen,35000.0,crossover,20,2.0,Diesel,yes,2014,Tiguan,full
Subaru,38900.0,crossover,1,2.0,Diesel,yes,2016,Forester,full
Mercedes-Benz,0.0,other,24,4.7,Petrol,yes,2014,S 500,full
Mercedes-Benz,0.0,crossover,35,3.0,Diesel,yes,2015,G 350,full
Mercedes-Benz,0.0,crossover,27,3.0,Diesel,yes,2015,G 350,full
Mercedes-Benz,0.0,van,12,2.2,Diesel,yes,2015,V 250,full
Mercedes-Benz,2700.0,sedan,350,3.0,Diesel,yes,1988,300,rear
BMW,23900.0,crossover,162,4.8,Petrol,yes,2007,X5,full
Mercedes-Benz,0.0,sedan,25,3.0,Diesel,yes,2014,S 350,full
Volkswagen,55500.0,crossover,47,3.0,Diesel,yes,2016,Touareg,full
Mercedes-Benz,0.0,sedan,20,3.0,Diesel,yes,2015,S 350,full
Mercedes-Benz,0.0,sedan,24,3.0,Diesel,yes,2015,S 350,full
Porsche,23500.0,crossover,136,3.6,Petrol,yes,2008,Cayenne,full
Mercedes-Benz,0.0,sedan,25,3.0,Diesel,yes,2014,S 350,full
Mercedes-Benz,187555.0,other,0,4.7,Petrol,yes,2016,S 500,full
Mercedes-Benz,109900.0,sedan,40,3.0,Diesel,yes,2014,S 350,full
Mercedes-Benz,0.0,sedan,20,3.0,Diesel,yes,2015,S 350,full
Mercedes-Benz,0.0,other,25,4.7,Petrol,yes,2014,S 500,full
Mercedes-Benz,116500.0,sedan,25,3.0,Diesel,yes,2015,S 350,full
Subaru,37900.0,crossover,0,2.0,Diesel,yes,2016,Forester,full
Subaru,0.0,crossover,1,2.0,Diesel,yes,2016,Forester,full
Mercedes-Benz,0.0,sedan,42,3.0,Diesel,yes,2014,S 350,full
BMW,64999.0,sedan,15,3.0,Petrol,yes,2012,640,rear
Mercedes-Benz,124000.0,crossover,0,3.0,Petrol,yes,2016,GLS 400,full
Honda,0.0,crossover,1,1.6,Diesel,yes,2016,CR-V,full
Hyundai,10200.0,other,82,2.0,Gas,yes,2008,Coupe,front
Toyota,0.0,crossover,1,4.5,Diesel,yes,2016,Land Cruiser 200,full
Renault,11700.0,crossover,90,1.5,Diesel,yes,2011,Duster,full
Toyota,18990.0,crossover,95,2.0,Petrol,yes,2011,Rav 4,full
Mitsubishi,9200.0,sedan,48,1.5,Petrol,yes,2008,Lancer X,front
Toyota,8900.0,other,180,2.0,Petrol,yes,2003,Rav 4,full
Porsche,68000.0,crossover,38,4.8,Petrol,yes,2012,Cayenne,full
Volkswagen,1450.0,hatch,200,1.8,Gas,no,1992,Golf III,front
Skoda,6000.0,hatch,145,1.2,Gas,yes,2008,Fabia,front
Citroen,10800.0,van,41,1.6,Petrol,yes,2012,C3 Picasso,front
Honda,26000.0,crossover,68,2.0,Petrol,yes,2012,CR-V,full
Citroen,11800.0,hatch,62,1.6,Gas,yes,2012,C4,front
Peugeot,7100.0,van,170,1.6,Diesel,yes,2011,Partner ãðóç.,front
Hyundai,7400.0,hatch,112,1.4,Other,yes,2008,i30,front
Ford,1300.0,hatch,345,2.0,Gas,yes,1986,Scorpio,rear
Fiat,4800.0,hatch,113,1.2,Petrol,yes,2007,Punto,front
Skoda,6900.0,hatch,92,1.4,Petrol,yes,2009,Fabia,front
Mercedes-Benz,0.0,crossover,131,5.0,Petrol,yes,2008,G 500,full
Mitsubishi,1180.0,sedan,280,1.8,Diesel,yes,1986,Galant,front
Volkswagen,12999.0,van,250,1.9,Diesel,yes,2009,T5 (Transporter) ïàññ.,front
Ford,11200.0,sedan,15,1.0,Petrol,yes,2015,Focus,front
Mazda,8777.0,sedan,152,2.3,Petrol,yes,2008,6 MPS,full
Mitsubishi,10800.0,crossover,165,3.0,Gas,yes,2007,Pajero Sport,full
Volkswagen,31500.0,crossover,1,2.0,Petrol,yes,2014,Tiguan,full
Ford,4200.0,van,200,2.0,Diesel,yes,2003,Transit ãðóç.,front
Kia,18700.0,crossover,34,2.0,Gas,yes,2012,Sportage,full
Renault,3750.0,hatch,232,1.8,Petrol,yes,1997,Laguna,front
Peugeot,9350.0,hatch,118,1.6,Diesel,yes,2012,308,front
BMW,11900.0,sedan,1,2.8,Petrol,yes,2002,528,rear
Toyota,12500.0,crossover,201,2.0,Petrol,yes,2006,Rav 4,full
ZAZ,1600.0,hatch,170,1.1,Petrol,yes,1998,1102 Òàâðèÿ,front
VAZ,3550.0,hatch,93,1.6,Petrol,yes,2008,2114,front
Kia,6450.0,sedan,160,1.6,Petrol,yes,2007,Cerato,front
Ford,680.0,sedan,100,2.3,Gas,yes,1980,Granada,rear
Nissan,15000.0,other,96,3.5,Petrol,yes,2008,Altima,front
Mercedes-Benz,20500.0,sedan,222,5.5,Petrol,yes,2006,S 500,rear
Citroen,10600.0,hatch,5,1.0,Petrol,yes,2014,C1,front
Volkswagen,10900.0,vagon,185,1.4,Petrol,yes,2011,Golf VI,front
Mitsubishi,17500.0,crossover,170,3.8,Gas,yes,2008,Pajero Wagon,full
Toyota,8420.0,other,150,2.7,Gas,yes,2005,Tacoma,rear
VAZ,3900.0,crossover,163,1.7,Petrol,yes,2002,2121,full
Ford,26300.0,crossover,75,2.0,Diesel,yes,2014,Kuga,full
Mercedes-Benz,8000.0,sedan,300,2.0,Petrol,yes,2000,E-Class,rear
Suzuki,3499.0,hatch,57,1.3,Petrol,yes,1998,Swift,front
Volkswagen,13900.0,vagon,123,1.4,Gas,yes,2013,Touran,front
VAZ,3250.0,sedan,125,1.5,Gas,yes,2006,21099,front
Audi,1999.0,sedan,400,1.6,Diesel,yes,1986,80,front
Toyota,11700.0,crossover,126,2.4,Gas,yes,2008,Rav 4,full
Chevrolet,5999.0,sedan,100,1.6,Petrol,yes,2006,Lacetti,front
VAZ,1400.0,sedan,1,1.5,Gas,yes,1996,2106,rear
Chevrolet,18500.0,sedan,51,2.4,Gas,yes,2012,Malibu,front
Mercedes-Benz,1350.0,sedan,360,2.5,Diesel,no,1989,E-Class,rear
VAZ,2650.0,sedan,101,1.5,Petrol,yes,2005,21099,front
Porsche,69900.0,sedan,40,3.0,Diesel,yes,2013,Panamera,rear
VAZ,2400.0,vagon,187,1.5,Petrol,yes,2000,2111,front
Toyota,11800.0,sedan,90,1.8,Petrol,yes,2008,Avensis,front
BYD,4900.0,sedan,92,1.6,Petrol,yes,2007,F3,front
VAZ,2950.0,hatch,167,1.5,Gas,yes,2005,2114,front
SsangYong,16700.0,crossover,39,2.7,Diesel,yes,2013,Rexton,full
Audi,2550.0,vagon,1,2.5,Diesel,no,1998,A6,front
Volkswagen,11700.0,van,185,1.4,Petrol,yes,2008,Cross Touran,front
Skoda,8200.0,sedan,1,18.0,Gas,yes,2005,Superb,
VAZ,2650.0,hatch,125,1.5,Petrol,yes,2004,21093,front
VAZ,1500.0,sedan,200,1.5,Petrol,yes,2000,2105,rear
VAZ,3000.0,sedan,165,1.6,Other,yes,2006,1118,front
Moskvich-AZLK,350.0,sedan,100,,Other,yes,1985,2140,
Fiat,1600.0,other,2,1.0,Petrol,yes,1992,Panda,front
Opel,1250.0,sedan,200,1.6,Petrol,no,1996,Vectra B,front
Audi,13700.0,sedan,300,2.0,Diesel,yes,2005,A6,front
Skoda,13777.0,vagon,175,1.6,Diesel,yes,2012,Octavia A5,front
Mercedes-Benz,1700.0,sedan,300,2.0,Gas,no,1998,E-Class,rear
Smart,4200.0,other,170,0.6,Petrol,yes,2000,Fortwo,rear
Kia,28900.0,crossover,58,2.2,Diesel,yes,2013,Sorento,full
Infiniti,14900.0,crossover,130,3.5,Gas,yes,2005,FX 35,full
MG,10500.0,hatch,57,1.8,Petrol,yes,2014,6,front
Mercedes-Benz,22900.0,sedan,74,2.2,Diesel,yes,2011,C-Class,rear
Renault,7450.0,other,190,,Diesel,yes,2004,Grand Scenic,front
Kia,11500.0,crossover,128,2.5,Diesel,yes,2009,Sorento,full
Audi,27300.0,other,65,2.0,Petrol,yes,2011,TT,full
Mercedes-Benz,0.0,sedan,0,3.0,Petrol,yes,2016,S 400,full
Mercedes-Benz,33900.0,other,100,5.5,Petrol,yes,2007,CL 500,rear
UAZ,8100.0,crossover,10,2.4,Petrol,yes,2015,31514,full
Porsche,0.0,sedan,5,4.8,Petrol,yes,2015,Panamera,full
Mercedes-Benz,0.0,sedan,6,3.0,Diesel,yes,2014,S 350,full
Hyundai,34500.0,crossover,0,2.0,Diesel,yes,2016,Tucson,full
Mazda,16264.95,hatch,0,1.5,Petrol,yes,2016,2,full
Mercedes-Benz,57000.0,sedan,43,4.7,Petrol,yes,2012,CLS 500,
ZAZ,400.0,sedan,20,,Petrol,yes,1990,968,rear
Volkswagen,7000.0,van,250,2.0,Diesel,yes,2004,Caddy ïàññ.,front
Toyota,39500.0,other,1,2.8,Diesel,yes,2016,Hilux,full
Nissan,15800.0,crossover,150,4.0,Gas,yes,2008,Pathfinder,full
Mitsubishi,9800.0,sedan,81,2.0,Petrol,yes,2009,Lancer X,front
VAZ,2850.0,sedan,94,1.6,Petrol,yes,2007,1118,front
Infiniti,32000.0,crossover,87,3.7,Gas,yes,2011,FX 37,full
Seat,9000.0,hatch,180,2.0,Other,yes,2007,Toledo,front
Mazda,12500.0,vagon,73,2.0,Petrol,yes,2009,6,front
Mercedes-Benz,22000.0,crossover,160,4.0,Diesel,yes,2008,ML 400,full
Nissan,16000.0,crossover,54,1.6,Petrol,yes,2013,Juke,front
Peugeot,9999.0,hatch,65,1.6,Petrol,yes,2012,207,front
Nissan,17000.0,crossover,51,2.5,Petrol,yes,2011,X-Trail,full
Lexus,20000.0,crossover,123,3.5,Gas,yes,2008,RX 350,full
Hyundai,18000.0,crossover,55,2.0,Petrol,yes,2012,IX35,full
Subaru,14000.0,crossover,108,3.0,Petrol,yes,2007,Tribeca,full
Nissan,8500.0,sedan,89,1.6,Petrol,yes,2008,TIIDA,front
Peugeot,14500.0,sedan,75,1.6,Petrol,yes,2013,508,front
Volkswagen,22000.0,crossover,123,3.0,Diesel,yes,2009,Touareg,full
Suzuki,14000.0,crossover,81,2.4,Petrol,yes,2009,Grand Vitara,full
Mitsubishi,16000.0,crossover,59,,Petrol,yes,2012,ASX,front
Nissan,13500.0,crossover,95,2.0,Petrol,yes,2008,X-Trail,full
Mitsubishi,5800.0,vagon,230,1.6,Petrol,yes,2005,Space Star,front
Lexus,28500.0,sedan,130,4.6,Petrol,yes,2009,LS 460,full
Audi,10900.0,sedan,199,3.0,Petrol,yes,2004,A8,front
Mazda,10900.0,other,99,1.6,Petrol,yes,2009,3,front
VAZ,1555.0,sedan,125,1.35,Petrol,yes,1987,2106,rear
Honda,17800.0,sedan,80,2.0,Petrol,yes,2011,Accord,
Ford,1100.0,hatch,61,1.1,Petrol,yes,1986,Fiesta,front
VAZ,2500.0,hatch,200,1.5,Petrol,yes,2002,2112,front
Citroen,9000.0,other,146,1.6,Diesel,yes,2007,Jumpy ïàññ.,front
Hyundai,10700.0,hatch,114,1.6,Diesel,yes,2011,i30,front
VAZ,2300.0,hatch,137,1.5,Gas,yes,2004,2109,front
Bentley,547800.0,sedan,0,6.75,Petrol,yes,2016,Mulsanne,rear
Smart,5950.0,hatch,150,1.3,Petrol,yes,2004,Forfour,front
VAZ,3500.0,sedan,105,1.6,Gas,yes,2008,1118,front
Peugeot,11900.0,crossover,167,1.6,Diesel,yes,2011,3008,front
Moskvich-AZLK,1500.0,hatch,1,1.4,Petrol,yes,1964,403,rear
Volkswagen,20900.0,sedan,25,2.0,Diesel,yes,2015,Jetta,front
Chevrolet,4999.0,sedan,117,1.6,Petrol,yes,2008,Aveo,front
Audi,9700.0,sedan,249,2.5,Diesel,yes,2004,A6,full
SsangYong,12300.0,crossover,100,2.7,Diesel,yes,2010,Rexton,full
Mitsubishi,24000.0,crossover,20,2.5,Diesel,yes,2013,Pajero Sport,full
Kia,12800.0,hatch,50,1.6,Petrol,yes,2012,Soul,front
Renault,12000.0,van,137,1.5,Diesel,yes,2012,Grand Scenic,front
Chevrolet,6200.0,sedan,125,2.5,Gas,yes,2005,Evanda,front
ZAZ,800.0,hatch,247,1.1,Gas,yes,1994,1102 Òàâðèÿ,front
Kia,22000.0,crossover,75,2.4,Gas,yes,2011,Sorento,full
Toyota,17777.0,other,120,2.7,Gas,yes,2006,Land Cruiser Prado,full
Land Rover,29999.0,other,130,3.6,Diesel,yes,2009,Range Rover Sport,full
Toyota,39500.0,other,100,4.5,Diesel,yes,2008,Land Cruiser 200,full
Toyota,21999.0,other,65,2.5,Petrol,yes,2012,Camry,front
Toyota,63333.0,other,33,4.5,Diesel,yes,2013,Land Cruiser 200,full
Audi,23333.0,other,150,4.2,Petrol,yes,2007,Q7,full
Toyota,25999.0,other,108,4.0,Petrol,yes,2008,Land Cruiser Prado,full
Skoda,14777.0,other,100,1.8,Petrol,yes,2011,Octavia Scout,full
Toyota,16500.0,other,130,2.7,Gas,yes,2004,Land Cruiser Prado,full
Jaguar,39900.0,sedan,22,2.0,Petrol,yes,2015,XE,rear
Audi,48900.0,other,82,4.2,Petrol,yes,2007,R8,full
Chevrolet,75000.0,other,10,6.2,Petrol,yes,2011,Corvette,rear
VAZ,2000.0,hatch,162,1.5,Gas,yes,2001,21093,front
Volkswagen,6900.0,sedan,320,1.8,Gas,yes,2002,Passat B5,front
Renault,3400.0,hatch,77,1.8,Other,yes,1994,Laguna,front
Volkswagen,9599.0,sedan,140,1.8,Petrol,yes,2008,Passat B6,front
Renault,15000.0,sedan,21,1.5,Diesel,yes,2014,Fluence,front
VAZ,2650.0,hatch,120,1.6,Other,yes,2008,2109,
Peugeot,7400.0,hatch,145,2.0,Gas,yes,2006,307,front
Mitsubishi,21000.0,crossover,29,2.0,Gas,yes,2014,ASX,full
Mercedes-Benz,43999.0,sedan,132,3.0,Diesel,yes,2010,S 350,rear
Chevrolet,5700.0,sedan,130,1.6,Petrol,yes,2006,Lacetti,front
Renault,9700.0,van,152,2.0,Diesel,yes,2010,Trafic ãðóç.,front
BMW,13000.0,sedan,90,5.0,Petrol,no,2008,M5,rear
Skoda,5600.0,vagon,174,1.4,Petrol,yes,2001,Fabia,front
VAZ,1999.0,hatch,10,1.3,Petrol,yes,1993,2109,front
BMW,37500.0,other,55,2.0,Petrol,yes,2014,428,rear
Ford,5000.0,hatch,180,1.3,Petrol,yes,2006,Fiesta,front
Opel,4900.0,van,240,1.3,Diesel,yes,2006,Combo ïàññ.,front
BMW,18700.0,crossover,260,3.0,Diesel,yes,2006,X5,full
Moskvich-AZLK,550.0,sedan,30,99.99,Petrol,yes,1971,412,rear
Renault,10500.0,hatch,148,1.5,Diesel,yes,2012,Megane,front
Mitsubishi,8200.0,sedan,160,2.0,Gas,yes,2007,Lancer X,front
SsangYong,10500.0,crossover,106,2.0,Diesel,yes,2008,Actyon,full
Renault,7800.0,van,200,1.9,Diesel,yes,2002,Trafic ïàññ.,front
Skoda,10900.0,vagon,95,2.0,Petrol,yes,2008,Octavia Scout,full
Daewoo,2780.0,hatch,62,0.8,Petrol,yes,2007,Matiz,front
Smart,21091.34235,hatch,0,0.9,Petrol,yes,2016,Forfour,rear
Ford,4700.0,hatch,192,1.4,Other,yes,2008,Fiesta,front
Jaguar,32500.0,other,43,4.2,Petrol,yes,2007,XKR,rear
BMW,13950.0,crossover,278,3.0,Diesel,yes,2003,X5,full
Nissan,3200.0,sedan,177,1.6,Gas,yes,1995,Primera,front
Mercedes-Benz,11000.0,sedan,263,3.2,Diesel,yes,2001,E-Class,rear
VAZ,1300.0,sedan,160,1.5,Gas,yes,1991,2106,rear
Audi,39999.0,crossover,45,2.0,Diesel,yes,2014,Q3,full
BMW,19500.0,sedan,190,6.0,Petrol,yes,2004,760,rear
